ID,Name,Adresse,Telefon,Website,Rating,Reviews,Fotos,GBP_Vollstaendigkeit,Letzte_Aktivitaet,SEO_Score,Notizen,Kontaktiert,Status,Datum
1,Café am Markt,Marktplatz 5 82377 Penzberg,,www.cafe-markt-penzberg.de,4.3,42,15,5/10,Jan 2024,5/10,"Wenige Fotos, keine Posts, Website basic",,Lead,12.02.26
2,Bäckerei Schmidt,Bahnhofstraße 12 82377 Penzberg,08856 2345,,4.6,128,50+,6/10,Keine,7/10,"Gute Reviews, aber keine Website, keine Posts",,Lead,12.02.26
3,Eiscafé Venezia,Karlstraße 8 82377 Penzberg,08856 3456,www.venezia-penzberg.de,4.8,215,80+,9/10,Feb 2026,9/10,"Sehr aktiv, vollständiges Profil - kein Bedarf",,Kein Lead,12.02.26
4,Café Glück,Ludwigstraße 3 82377 Penzberg,,,,12,5,2/10,Keine,2/10,"Kaum Profil, sehr wenige Reviews, kein Telefon",,Niedriger Prio,12.02.26
5,Kaffeebar Central,Hauptstraße 20 82377 Penzberg,08856 4567,,4.4,67,20,4/10,Sep 2023,4/10,"Letzte Aktivität vor 1+ Jahr, nur Basics ausgefüllt",,Top Lead,12.02.26
6,Konditorei Maier,Nonnenwald 7 82377 Penzberg,08856 5678,www.konditorei-maier.de,4.7,93,35,7/10,Keine Posts,6/10,"Website vorhanden aber alt, keine Social Media Integration",,Lead,12.02.26
7,Bistro am See,Seeuferweg 15 82377 Penzberg,,www.bistro-see.de,4.5,156,60+,8/10,Dez 2025,8/10,"Relativ vollständig, aber könnte mehr Posts nutzen",,Mittlerer Prio,12.02.26
8,Coffee Corner,Bahnhofstraße 45 82377 Penzberg,,,3.9,28,8,3/10,Keine,3/10,"Niedriges Rating, wenig Engagement, fast kein Profil",,Top Lead,12.02.26
9,Teestube Harmonie,Marienplatz 2 82377 Penzberg,08856 6789,,4.2,51,18,5/10,Nov 2023,5/10,"Nischen-Angebot, könnte lokale SEO nutzen",,Lead,12.02.26
10,Brasserie Le Petit,Hauptstraße 33 82377 Penzberg,08856 7890,www.lepetit-penzberg.de,4.6,104,45,6/10,Keine Posts,6/10,"Französisches Lokal, gutes Potential für Content",,Lead,12.02.26
